substrate,candidate_id,seed,run_kind,perturb_scale,perturb_family,motif_index,release_duty_fraction,release_strength_max,release_pressure_max,carrier_residual_final,residual_delta_max,post_event_residual_delta_max,pressure_to_post_delta_ratio
bound_no_release,,94,clean,,,,0.0,0.0,32.26956558227539,126.92347717285156,0.07837148528684042,0.0,32269565582.275387
bound_no_release,,94,perturbed,0.25,,,0.0,0.0,32.042110443115234,126.50465393066406,0.14363911497658305,0.14363911497658305,223.07371114294975
bound_no_release,,94,perturbed,0.5,,,0.0,0.0,31.548723220825195,124.49524688720703,0.2767116146364241,0.2767116146364241,114.01300687098943
bound_no_release,,94,perturbed,1.0,,,0.0,0.0,33.61981964111328,139.48403930664062,0.5660582222536865,0.5660582222536865,59.39286511422868
bound_no_release,,95,clean,,,,0.0,0.0,46.07522201538086,196.10769653320312,0.06992929240600218,0.0,46075222015.38086
bound_no_release,,95,perturbed,0.25,,,0.0,0.0,46.174129486083984,196.55487060546875,0.15289422573478728,0.15289422573478728,302.00047950913694
bound_no_release,,95,perturbed,0.5,,,0.0,0.0,46.185890197753906,196.32965087890625,0.2968052300311141,0.2968052300311141,155.61009552598597
bound_no_release,,95,perturbed,1.0,,,0.0,0.0,43.255149841308594,179.5779571533203,0.5800581830703987,0.5800581830703987,74.57036398029564
bound_no_release,,96,clean,,,,0.0,0.0,33.76455307006836,148.5014190673828,0.08425912080094093,0.0,33764553070.068356
bound_no_release,,96,perturbed,0.25,,,0.0,0.0,35.146114349365234,153.99868774414062,0.138688841178433,0.138688841178433,253.41703089253787
bound_no_release,,96,perturbed,0.5,,,0.0,0.0,35.37227249145508,156.29238891601562,0.26969102441914616,0.26969102441914616,131.1585083991542
bound_no_release,,96,perturbed,1.0,,,0.0,0.0,32.16550827026367,137.6424102783203,0.5127146841142369,0.5127146841142369,62.735687638501375
bound_no_release,,97,clean,,,,0.0,0.0,32.78987121582031,131.80491638183594,0.07994640238021519,0.03097115328125292,1058.7229644970398
bound_no_release,,97,perturbed,0.25,,,0.0,0.0,30.719573974609375,126.08531951904297,0.14688896363484893,0.14688896363484893,209.13466345215096
bound_no_release,,97,perturbed,0.5,,,0.0,0.0,29.127321243286133,117.30827331542969,0.2932460129680661,0.2932460129680661,99.32725409793734
bound_no_release,,97,perturbed,1.0,,,0.0,0.0,26.986101150512695,103.51177978515625,0.6147522465059598,0.6147522465059598,43.897523439552124
bound_no_release,,98,clean,,,,0.0,0.0,34.046669006347656,152.2633514404297,0.05725319571115356,0.0,34046669006.347652
bound_no_release,,98,perturbed,0.25,,,0.0,0.0,29.159154891967773,118.98536682128906,0.14147115484616754,0.14147115484616754,206.1137828674316
bound_no_release,,98,perturbed,0.5,,,0.0,0.0,29.902677536010742,122.61113739013672,0.25597686138218634,0.25597686138218634,116.8178927366585
bound_no_release,,98,perturbed,1.0,,,0.0,0.0,29.184309005737305,120.00231170654297,0.46211368355423965,0.46211368355423965,63.15395982493528
bound_no_release,,99,clean,,,,0.0,0.0,39.557159423828125,160.47805786132812,0.07612393083301211,0.0,39557159423.828125
bound_no_release,,99,perturbed,0.25,,,0.0,0.0,39.1854362487793,158.91836547851562,0.1271474640860432,0.1271474640860432,308.1888933487635
bound_no_release,,99,perturbed,0.5,,,0.0,0.0,38.22877502441406,154.76271057128906,0.25221706746707506,0.25221706746707506,151.57092820217065
bound_no_release,,99,perturbed,1.0,,,0.0,0.0,36.183807373046875,143.553955078125,0.5126184207122381,0.5126184207122381,70.5862409758367
bound_no_release,,100,clean,,,,0.0,0.0,34.668678283691406,133.26791381835938,0.06625582050499723,0.0,34668678283.69141
bound_no_release,,100,perturbed,0.25,,,0.0,0.0,34.72224044799805,134.66998291015625,0.17038503088955065,0.17038503088955065,203.78691876110983
bound_no_release,,100,perturbed,0.5,,,0.0,0.0,35.44806671142578,139.07728576660156,0.3279251353458302,0.3279251353458302,108.09804705589956
bound_no_release,,100,perturbed,1.0,,,0.0,0.0,34.918636322021484,136.96473693847656,0.6269637058061123,0.6269637058061123,55.69482890102099
bound_no_release,,101,clean,,,,0.0,0.0,29.556930541992188,115.2767333984375,0.05525069883963577,0.0,29556930541.992188
bound_no_release,,101,perturbed,0.25,,,0.0,0.0,29.048927307128906,112.08616638183594,0.1784386930473912,0.1784386930473912,162.79500152701664
bound_no_release,,101,perturbed,0.5,,,0.0,0.0,30.464221954345703,119.79853057861328,0.36875457873939493,0.36875457873939493,82.61381338908141
bound_no_release,,101,perturbed,1.0,,,0.0,0.0,34.3072509765625,139.93429565429688,0.7140793029230987,0.7140793029230987,48.044034935790805
bound_no_release,,102,clean,,,,0.0,0.0,40.86513137817383,165.29275512695312,0.07535828064625108,0.0,40865131378.17383
bound_no_release,,102,perturbed,0.25,,,0.0,0.0,39.922142028808594,160.4122314453125,0.12245882738673665,0.12245882738673665,326.0046080853826
bound_no_release,,102,perturbed,0.5,,,0.0,0.0,38.299560546875,150.5221710205078,0.22986450743274664,0.22986450743274664,166.61798280485132
bound_no_release,,102,perturbed,1.0,,,0.0,0.0,36.85498046875,141.03683471679688,0.46642463180732796,0.46642463180732796,79.01593945830494
bound_no_release,,103,clean,,,,0.0,0.0,43.32722091674805,189.42100524902344,0.05716223227535493,0.0,43327220916.74805
bound_no_release,,103,perturbed,0.25,,,0.0,0.0,42.98265838623047,186.87161254882812,0.15520349371154768,0.15520349371154768,276.943884176445
bound_no_release,,103,perturbed,0.5,,,0.0,0.0,42.6062126159668,183.89231872558594,0.2908243182729029,0.2908243182729029,146.50154728803008
bound_no_release,,103,perturbed,1.0,,,0.0,0.0,41.89749526977539,176.61236572265625,0.5333013965630802,0.5333013965630802,78.56250806727384
bound_no_release,,104,clean,,,,0.0,0.0,49.38633346557617,217.79209899902344,0.0950657571515964,0.0,49386333465.57617
bound_no_release,,104,perturbed,0.25,,,0.0,0.0,49.311397552490234,217.1875457763672,0.15841867658691336,0.15841867658691336,311.27262652921155
bound_no_release,,104,perturbed,0.5,,,0.0,0.0,49.018428802490234,216.03646850585938,0.3087552102831049,0.3087552102831049,158.76146270550086
bound_no_release,,104,perturbed,1.0,,,0.0,0.0,49.3230094909668,216.988525390625,0.5959397056451827,0.5959397056451827,82.76510026726308
bound_no_release,,105,clean,,,,0.0,0.0,39.65846252441406,171.77517700195312,0.06705648945451474,0.0,39658462524.41406
bound_no_release,,105,perturbed,0.25,,,0.0,0.0,40.26048278808594,175.7307586669922,0.13727156910355717,0.13727156910355717,293.29075970358855
bound_no_release,,105,perturbed,0.5,,,0.0,0.0,40.92509460449219,179.4344024658203,0.26985312119851906,0.26985312119851906,151.65692515516764
bound_no_release,,105,perturbed,1.0,,,0.0,0.0,45.29981231689453,203.3947296142578,0.5215176856284648,0.5215176856284648,86.86150741427902
bound_no_release,,106,clean,,,,0.0,0.0,32.23591232299805,123.83978271484375,0.06485132419357625,0.0,32235912322.998043
bound_no_release,,106,perturbed,0.25,,,0.0,0.0,31.930892944335938,120.99406433105469,0.14659073253478583,0.14659073253478583,217.82340801632034
bound_no_release,,106,perturbed,0.5,,,0.0,0.0,27.989988327026367,103.08981323242188,0.27925328033587354,0.27925328033587354,100.23154712224415
bound_no_release,,106,perturbed,1.0,,,0.0,0.0,28.751628875732422,107.19285583496094,0.5300748867221772,0.5300748867221772,54.240692392585885
bound_no_release,,107,clean,,,,0.0,0.0,38.405723571777344,163.07809448242188,0.07702952963025356,0.0,38405723571.77734
bound_no_release,,107,perturbed,0.25,,,0.0,0.0,37.8386344909668,158.8377685546875,0.12991430986037422,0.12991430986037422,291.258403571046
bound_no_release,,107,perturbed,0.5,,,0.0,0.0,37.51791000366211,162.56625366210938,0.2638349726996485,0.2638349726996485,142.20218654019286
bound_no_release,,107,perturbed,1.0,,,0.0,0.0,36.63489532470703,162.4180145263672,0.5292428657857235,0.5292428657857235,69.22133049506147
bound_no_release,,108,clean,,,,0.0,0.0,34.7387809753418,146.0851593017578,0.08270060936834903,0.0,34738780975.3418
bound_no_release,,108,perturbed,0.25,,,0.0,0.0,35.295833587646484,149.198974609375,0.16591596873427375,0.16591596873427375,212.73319172897263
bound_no_release,,108,perturbed,0.5,,,0.0,0.0,35.76214599609375,151.9827117919922,0.3394732243238453,0.3394732243238453,105.34599913534842
bound_no_release,,108,perturbed,1.0,,,0.0,0.0,35.88071060180664,152.9152069091797,0.689983486014087,0.689983486014087,52.00227444439748
bound_no_release,,109,clean,,,,0.0,0.0,44.89350891113281,201.3668975830078,0.12765847355081353,0.0,44893508911.13281
bound_no_release,,109,perturbed,0.25,,,0.0,0.0,43.78923797607422,198.38558959960938,0.12765847355081353,0.12124167908530267,361.1731403461114
bound_no_release,,109,perturbed,0.5,,,0.0,0.0,42.62338638305664,192.8618621826172,0.24506837190374825,0.24506837190374825,173.92446871845698
bound_no_release,,109,perturbed,1.0,,,0.0,0.0,42.66334915161133,184.0550537109375,0.4889923304298802,0.4889923304298802,87.24748119076911
learned_release_high_threshold,,94,clean,,,,0.0546875,0.030231768265366554,32.28217315673828,126.96859741210938,0.07837148528684042,0.0,32282173156.738277
learned_release_high_threshold,,94,perturbed,0.25,,,0.0546875,0.030231768265366554,32.09606170654297,126.67681884765625,0.14355079625552847,0.14355079625552847,223.58678978979802
learned_release_high_threshold,,94,perturbed,0.5,,,0.0546875,0.030231768265366554,31.588449478149414,124.73222351074219,0.2765321112086162,0.2765321112086162,114.23067411624773
learned_release_high_threshold,,94,perturbed,1.0,,,0.0546875,0.030231768265366554,33.608821868896484,139.4313507080078,0.5658191231820843,0.5658191231820843,59.398525945686266
learned_release_high_threshold,,95,clean,,,,0.546875,0.15000000596046448,45.583473205566406,194.20655822753906,0.06992929240600218,0.0,45583473205.56641
learned_release_high_threshold,,95,perturbed,0.25,,,0.546875,0.15000000596046448,45.681880950927734,194.7229461669922,0.15591191901474302,0.15591191901474302,292.9980032290415
learned_release_high_threshold,,95,perturbed,0.5,,,0.546875,0.15000000596046448,45.672088623046875,194.396240234375,0.30169769942653146,0.30169769942653146,151.38361581762345
learned_release_high_threshold,,95,perturbed,1.0,,,0.546875,0.1499999761581421,44.66897964477539,188.05831909179688,0.588791010081856,0.588791010081856,75.86559386931764
learned_release_high_threshold,,96,clean,,,,0.640625,0.1498980075120926,34.20509338378906,149.92672729492188,0.08425912080094093,0.0,34205093383.78906
learned_release_high_threshold,,96,perturbed,0.25,,,0.640625,0.14999860525131226,35.61777114868164,157.10716247558594,0.13618955413516123,0.13618955413516123,261.53085950580913
learned_release_high_threshold,,96,perturbed,0.5,,,0.640625,0.14999821782112122,35.90683364868164,157.99618530273438,0.26296790665865816,0.26296790665865816,136.54454684194604
learned_release_high_threshold,,96,perturbed,1.0,,,0.640625,0.14963969588279724,32.581703186035156,140.1880645751953,0.5024236881133319,0.5024236881133319,64.84905858715341
learned_release_high_threshold,,97,clean,,,,0.671875,0.1499972939491272,32.30073928833008,131.4874267578125,0.07994640238021519,0.03174059668437993,1017.6475133571072
learned_release_high_threshold,,97,perturbed,0.25,,,0.671875,0.14999693632125854,31.64383316040039,132.2892608642578,0.1458692417085521,0.1458692417085521,216.9328693956264
learned_release_high_threshold,,97,perturbed,0.5,,,0.671875,0.14999663829803467,27.86917495727539,111.06069946289062,0.2936930435167969,0.2936930435167969,94.89218615313064
learned_release_high_threshold,,97,perturbed,1.0,,,0.671875,0.14999553561210632,26.95691680908203,103.53379821777344,0.6203963838711447,0.6203963838711447,43.4511185266369
learned_release_high_threshold,,98,clean,,,,0.65625,0.15000000596046448,28.17091941833496,114.79446411132812,0.06299586713980085,0.0,28170919418.33496
learned_release_high_threshold,,98,perturbed,0.25,,,0.65625,0.1499999761581421,30.01673698425293,119.964111328125,0.13754676695090906,0.13754676695090906,218.2293168327687
learned_release_high_threshold,,98,perturbed,0.5,,,0.65625,0.14999954402446747,30.10475730895996,120.2451171875,0.25035874969595695,0.25035874969595695,120.24647568946588
learned_release_high_threshold,,98,perturbed,1.0,,,0.609375,0.14999446272850037,29.588293075561523,118.66704559326172,0.45882778880378483,0.45882778880378483,64.48670677227615
learned_release_high_threshold,,99,clean,,,,0.640625,0.14999724924564362,39.633995056152344,159.9094696044922,0.07612393083301211,0.0,39633995056.15234
learned_release_high_threshold,,99,perturbed,0.25,,,0.640625,0.14999420940876007,39.241580963134766,158.23402404785156,0.12997372638006247,0.12997372638006247,301.91933443830453
learned_release_high_threshold,,99,perturbed,0.5,,,0.640625,0.14998777210712433,38.372589111328125,154.07675170898438,0.25705004658581926,0.25705004658581926,149.28061527706035
learned_release_high_threshold,,99,perturbed,1.0,,,0.640625,0.1499384343624115,35.2201042175293,138.2763214111328,0.5225938211114934,0.5225938211114934,67.39479648385513
learned_release_high_threshold,,100,clean,,,,0.53125,0.1479395478963852,34.7865104675293,133.11082458496094,0.06780792034825942,0.0,34786510467.5293
learned_release_high_threshold,,100,perturbed,0.25,,,0.5703125,0.14867112040519714,34.82085418701172,133.45175170898438,0.16949535306433416,0.16949535306433416,205.43840027162875
learned_release_high_threshold,,100,perturbed,0.5,,,0.5703125,0.14858493208885193,35.477272033691406,137.3671875,0.3278011603909354,0.3278011603909354,108.22802454811705
learned_release_high_threshold,,100,perturbed,1.0,,,0.5078125,0.14555245637893677,35.061275482177734,136.27499389648438,0.6296298311492144,0.6296298311492144,55.68553735483452
learned_release_high_threshold,,101,clean,,,,0.6484375,0.1478833258152008,28.76666831970215,111.786376953125,0.05525069883963577,0.0,28766668319.70215
learned_release_high_threshold,,101,perturbed,0.25,,,0.6484375,0.1495291292667389,30.444509506225586,120.84397888183594,0.17182373463689427,0.17182373463689427,177.1845407187913
learned_release_high_threshold,,101,perturbed,0.5,,,0.6484375,0.14907920360565186,31.44339370727539,125.03549194335938,0.3575014544806832,0.3575014544806832,87.95319099596661
learned_release_high_threshold,,101,perturbed,1.0,,,0.6484375,0.14956672489643097,38.36289978027344,161.33511352539062,0.7081234474663273,0.7081234474663273,54.17544062060969
learned_release_high_threshold,,102,clean,,,,0.0390625,0.09597910195589066,40.86560821533203,165.29159545898438,0.07535828064625108,0.0,40865608215.33203
learned_release_high_threshold,,102,perturbed,0.25,,,0.0078125,0.013982230797410011,39.922142028808594,160.4122314453125,0.12245882738673665,0.12245882738673665,326.0046080853826
learned_release_high_threshold,,102,perturbed,0.5,,,0.015625,0.05671275407075882,38.29933166503906,150.5221710205078,0.22986450743274664,0.22986450743274664,166.61698707985448
learned_release_high_threshold,,102,perturbed,1.0,,,0.046875,0.12861734628677368,36.856361389160156,141.03700256347656,0.46642463180732796,0.46642463180732796,79.01890010899957
learned_release_high_threshold,,103,clean,,,,0.7578125,0.15000000596046448,41.539249420166016,177.93666076660156,0.06054069731020787,0.0,41539249420.166016
learned_release_high_threshold,,103,perturbed,0.25,,,0.7578125,0.15000000596046448,41.76808166503906,179.66172790527344,0.14916904491901553,0.14916904491901553,280.0050217370174
learned_release_high_threshold,,103,perturbed,0.5,,,0.7578125,0.15000000596046448,42.0703010559082,182.04818725585938,0.2822989801966648,0.2822989801966648,149.0274638137189
learned_release_high_threshold,,103,perturbed,1.0,,,0.7578125,0.15000000596046448,41.884586334228516,180.5653076171875,0.5343552363632466,0.5343552363632466,78.38341141613893
learned_release_high_threshold,,104,clean,,,,0.2890625,0.10790950804948807,49.26477813720703,217.57908630371094,0.0950657571515964,0.0,49264778137.20703
learned_release_high_threshold,,104,perturbed,0.25,,,0.296875,0.12194277346134186,49.2136344909668,217.1456298828125,0.15887378879384612,0.15887378879384612,309.7655998802054
learned_release_high_threshold,,104,perturbed,0.5,,,0.3359375,0.13211403787136078,48.93925476074219,216.14735412597656,0.3091452793660732,0.3091452793660732,158.30503658699234
learned_release_high_threshold,,104,perturbed,1.0,,,0.515625,0.14252538979053497,49.32263946533203,217.6259002685547,0.5959617484469539,0.5959617484469539,82.76141815118895
learned_release_high_threshold,,105,clean,,,,0.59375,0.14987745881080627,37.38756561279297,158.70433044433594,0.06705648945451474,0.0,37387565612.79297
learned_release_high_threshold,,105,perturbed,0.25,,,0.59375,0.14991362392902374,37.52923583984375,161.02072143554688,0.13522704655571796,0.13522704655571796,277.52758634997235
learned_release_high_threshold,,105,perturbed,0.5,,,0.59375,0.14992821216583252,39.3804931640625,172.33804321289062,0.26537168894320423,0.26537168894320423,148.39749229048638
learned_release_high_threshold,,105,perturbed,1.0,,,0.59375,0.1499994695186615,44.966636657714844,203.41635131835938,0.51627234174389,0.51627234174389,87.0986745209405
learned_release_high_threshold,,106,clean,,,,0.4765625,0.14981794357299805,32.37748718261719,124.03720092773438,0.06485132419357625,0.0,32377487182.617184
learned_release_high_threshold,,106,perturbed,0.25,,,0.4765625,0.14989028871059418,31.84947395324707,120.37834930419922,0.14659073253478583,0.14659073253478583,217.26799097404896
learned_release_high_threshold,,106,perturbed,0.5,,,0.4765625,0.1499236673116684,28.0226993560791,102.9718017578125,0.27925328033587354,0.27925328033587354,100.34868461482219
learned_release_high_threshold,,106,perturbed,1.0,,,0.4765625,0.14992545545101166,28.624792098999023,106.93609619140625,0.5300748867221772,0.5300748867221772,54.001411528861674
learned_release_high_threshold,,107,clean,,,,0.109375,0.0718531608581543,38.23564147949219,162.20289611816406,0.07702952963025356,0.0,38235641479.49219
learned_release_high_threshold,,107,perturbed,0.25,,,0.15625,0.09052833169698715,37.71189498901367,158.20098876953125,0.12991430986037422,0.12991430986037422,290.2828412785677
learned_release_high_threshold,,107,perturbed,0.5,,,0.25,0.0987037792801857,37.440895080566406,162.03614807128906,0.2638349726996485,0.2638349726996485,141.91028087542196
learned_release_high_threshold,,107,perturbed,1.0,,,0.2890625,0.14824984967708588,36.566036224365234,162.08250427246094,0.5292428657857235,0.5292428657857235,69.09122179678064
learned_release_high_threshold,,108,clean,,,,0.671875,0.14964672923088074,35.80818557739258,152.8067169189453,0.07704248451781459,0.0,35808185577.39258
learned_release_high_threshold,,108,perturbed,0.25,,,0.671875,0.14970792829990387,36.2672004699707,155.5908660888672,0.17378739845586533,0.17378739845586533,208.687170601619
learned_release_high_threshold,,108,perturbed,0.5,,,0.6640625,0.14966832101345062,36.6886100769043,158.2929229736328,0.34748708931997946,0.34748708931997946,105.5826567505074
learned_release_high_threshold,,108,perturbed,1.0,,,0.640625,0.1493503898382187,37.329750061035156,162.86337280273438,0.7011885207186478,0.7011885207186478,53.23782257983333
learned_release_high_threshold,,109,clean,,,,0.40625,0.14046084880828857,45.573143005371094,202.96188354492188,0.12765847355081353,0.0,45573143005.37109
learned_release_high_threshold,,109,perturbed,0.25,,,0.40625,0.1372654289007187,44.54902648925781,200.82861328125,0.12765847355081353,0.12124167908530267,367.43986742310136
learned_release_high_threshold,,109,perturbed,0.5,,,0.40625,0.13858136534690857,43.401451110839844,196.2797393798828,0.24506837190374825,0.24506837190374825,177.09935710466127
learned_release_high_threshold,,109,perturbed,1.0,,,0.2734375,0.13494406640529633,42.246829986572266,183.0520477294922,0.4889923304298802,0.4889923304298802,86.39569039750064
learned_release_neutral,,94,clean,,,,0.1015625,0.04078653082251549,32.34281921386719,127.49383544921875,0.07837148528684042,0.0,32342819213.867184
learned_release_neutral,,94,perturbed,0.25,,,0.1015625,0.04078653082251549,32.09784698486328,126.9454116821289,0.14337213576469077,0.14337213576469077,223.8778603224814
learned_release_neutral,,94,perturbed,0.5,,,0.1015625,0.04078653082251549,31.628910064697266,124.99334716796875,0.2763028112792927,0.2763028112792927,114.47190825983344
learned_release_neutral,,94,perturbed,1.0,,,0.1015625,0.04078653082251549,33.66315460205078,139.8112030029297,0.5655480767993106,0.5655480767993106,59.52306440960001
learned_release_neutral,,95,clean,,,,0.546875,0.1499992161989212,45.58271026611328,194.2037811279297,0.06992929240600218,0.0,45582710266.11328
learned_release_neutral,,95,perturbed,0.25,,,0.546875,0.14999936521053314,45.681060791015625,194.71759033203125,0.15583185053928447,0.15583185053928447,293.1432863880394
learned_release_neutral,,95,perturbed,0.5,,,0.546875,0.14999939501285553,45.67131805419922,194.3899688720703,0.3016732753278194,0.3016732753278194,151.39331783556085
